schoolid,schoolname,CalendarYear,SchoolType,TermType,FTResTuition,PTResTuition,FTNonResTuition,PTNonResTuition,FTResTermTuition,PTResTermTuition,FTNonResTermTuition,PTNonResTermTuition,TuitionGuarInd,OnCampusCosts,OffCampusCosts,AtHomeCosts
00143711,Catholic University of America,2024,PRI,SEM,60392,,60392,,30196,,30196,,N,26278,31542,15832
00144102,District of Columbia,2024,PUB,SEM,13438,,25874,,6719,,12937,,N,,29200,
00144402,George Washington University,2024,PRI,SEM,72520,,72520,,36260,,36260,,N,31110,31110,31110
00144503,Georgetown University,2024,PRI,SEM,79672,,79672,,39836,,39836,,N,33778,33778,33778
00144802,Howard University,2024,PRI,SEM,38612,,38612,,19306,,19306,,N,33098,33098,33098
00146601,Barry University,2024,PRI,SEM,43150,32826,43150,32826,21575,16413,21575,16413,N,,29486,29486
00146800,St. Thomas University (Florida),2024,PRI,SEM,45840,,45840,,22920,,22920,,Y,31424,38150,18150
00148001,Florida A&M University,2024,PUB,SEM,13816,,33076,,6908,,16538,,N,,45926,23594
00148900,Florida State University,2024,PUB,SEM,20690,,40700,,10345,,20350,,N,21976,21976,21976
00149500,Jacksonville University,2024,PRI,SEM,36380,,36380,,18190,,18190,,N,,24086,
00150900,Nova Southeastern University,2024,PRI,SEM,49050,37100,49050,37100,24525,18550,24525,18550,N,,40194,12753
00153101,Stetson University,2024,PRI,SEM,53244,35162,53244,35162,26622,17581,26622,17581,Y,21678,21678,11620
00153505,University of Florida,2024,PUB,SEM,21803,,38039,,10902,,19020,,N,21740,26360,12740
00153601,University of Miami,2024,PRI,SEM,66306,,66306,,33153,,33153,,N,,37682,37682
00156400,Emory University,2024,PRI,SEM,68384,,68384,,34192,,34192,,N,34438,34438,34438
00157400,Georgia State University,2024,PUB,SEM,19030,15012,38578,29298,9515,7506,19289,14649,N,20674,23699,12930
00158015,Mercer University,2024,PRI,SEM,43988,,43988,,21994,,21994,,N,23215,23215,23215
00159800,University of Georgia,2024,PUB,SEM,19460,,39596,,9730,,19798,,N,18520,23802,12206
00161000,University of Hawaii,2024,PUB,SEM,23620,17908,47044,17908,11810,8954,23522,8954,N,21729,24662,16501
00162600,University of Idaho,2024,PUB,SEM,26700,,45936,,13350,,22968,,N,16206,18318,10842
00167100,Depaul University,2024,PRI,SEM,54218,35402,54218,35402,27109,17701,27109,17701,N,27300,27300,27300
00169101,Chicago-Kent College of Law-IIT,2024,PRI,SEM,54170,39810,54170,39810,27085,19905,27085,19905,Y,27426,27964,27964
00171000,Loyola University-Chicago,2024,PRI,SEM,57170,42520,57170,42520,28585,21260,28585,21260,N,32658,32658,32658
00173700,Northern Illinois University,2024,PUB,SEM,24067,,24067,,12034,,12034,,N,23024,23024,23024
00173900,Northwestern University,2024,PRI,SEM,77532,,77532,,38766,,38766,,N,29496,29496,29496
00175800,Southern Illinois University-Carbondale,2024,PUB,SEM,21768,,21768,,10884,,10884,,N,16074,18561,6773
00177400,University of Chicago,2024,PRI,QTR,81069,,81069,,27023,,27023,,N,35217,35217,35217
00177500,University of Illinois,2024,PUB,SEM,39877,,49877,,19939,,24939,,Y,21972,21972,21972
00177608,University of Illinois Chicago School of Law,2024,PUB,SEM,40572,,49572,,20286,,24786,,N,24976,24976,24976
00180900,Indiana University - Bloomington,2024,PUB,SEM,38472,,59522,,19236,,29761,,Y,25136,25136,25136
00181300,Indiana University - Indianapolis,2024,PUB,SEM,30475,22905,48658,36072,15238,11453,24329,18036,N,22892,22892,22892
00184000,University of Notre Dame,2024,PRI,SEM,71126,,71126,,35563,,35563,,N,25990,25990,11140
00186000,Drake University,2024,PRI,SEM,49908,,49908,,24954,,24954,,N,20194,20792,10793
00189200,University of Iowa,2024,PUB,SEM,32512,,53759,,16256,,26880,,N,24148,24148,9562
00194800,University of Kansas,2024,PUB,SEM,25607,,32161,,12804,,16081,,N,19852,19852,19852
00194900,Washburn University,2024,PUB,SEM,26459,,39567,,13230,,19784,,N,16125,16125,5194
00198903,University of Kentucky,2024,PUB,SEM,26938,,51592,,13469,,25796,,N,23214,25562,12155
00199900,University of Louisville,2024,PUB,SEM,26712,,31712,,13356,,15856,,N,26134,26134,26134
00201000,Louisiana State University,2024,PUB,SEM,23665,,39105,,11833,,19553,,N,24740,26602,22080
00201600,Loyola University-New Orleans,2024,PRI,SEM,54708,41490,54708,41490,27354,20745,27354,20745,N,27500,27500,27500
00202500,Southern University,2024,PUB,SEM,20682,18514,34282,32114,10341,9257,17141,16057,N,29592,29592,29592
00202900,Tulane University,2024,PRI,SEM,71172,,71172,,35586,,35586,,N,28842,28842,10532
00205400,University of Maine,2024,PUB,SEM,27647,,39427,,13824,,19714,,N,25594,20804,10148
00210200,University of Baltimore,2024,PUB,SEM,35844,26764,52198,36916,17922,13382,26099,18458,N,25730,25730,25730
00210400,University of Maryland,2024,PUB,SEM,38213,25817,55369,36984,19107,12909,27685,18492,N,27415,33275,16350
00212801,Boston College,2024,PRI,SEM,70115,,70115,,35058,,35058,,N,,23988,11253
00213007,Boston University,2024,PRI,SEM,68136,,68136,,34068,,34068,,N,21532,21532,14938
00215510,Harvard University,2024,PRI,SEM,78692,,78692,,39346,,39346,,N,37308,37308,37308
00219900,Northeastern University,2024,PRI,SEM,63002,47271,63002,47271,31501,23636,31501,23636,N,22900,22900,22900
00221007,University of Massachusetts Dartmouth,2024,PUB,SEM,32282,,41749,,16141,,20875,,N,21850,32548,22256
00221810,Suffolk University,2024,PRI,SEM,61044,45778,61044,45778,30522,22889,30522,22889,N,,34644,11394
00222600,Western New England University,2024,PRI,SEM,51510,38030,51510,38030,25755,19015,25755,19015,N,18330,18330,18330
00225400,Michigan State University,2024,PUB,SEM,43070,,47812,,21535,,23906,,N,24130,24130,24130
00232300,University of Detroit Mercy,2024,PRI,SEM,47658,,47658,,23829,,23829,,N,,23145,
00232503,University of Michigan,2024,PUB,SEM,69584,,72584,,34792,,36292,,N,24364,24364,24364
00232902,Wayne State University,2024,PUB,SEM,39851,21600,43460,23525,19926,10800,21730,11763,N,25398,25398,14576
00234500,University of St. Thomas (Minnesota),2024,PRI,SEM,49839,,49839,,24920,,24920,,N,26900,26900,26900
00239101,Mitchell Hamline School of Law,2024,PRI,SEM,54430,39580,54430,39580,27215,19790,27215,19790,N,23352,23352,23352
00241501,Mississippi College,2024,PRI,SEM,39642,,39642,,19821,,19821,,Y,23325,23325,23325
00244000,University of Mississippi,2024,PUB,SEM,19680,,41960,,9840,,20980,,N,25600,25600,25600
00250609,Saint Louis University,2024,PRI,SEM,52570,38150,52570,38150,26285,19075,26285,19075,N,24620,24620,20460
00251600,University of Missouri,2024,PUB,SEM,25051,,31351,,12526,,15676,,N,21464,21464,21464
00251800,University of Missouri-Kansas City,2024,PUB,SEM,24824,,31094,,12412,,15547,,N,22144,21844,13719
00252000,Washington University,2024,PRI,SEM,70844,,70844,,35422,,35422,,N,,26757,
00253600,University of Montana,2024,PUB,SEM,26893,,54449,,13447,,27225,,N,29740,29740,29740
00254200,Creighton University,2024,PRI,SEM,51430,,51430,,25715,,25715,,N,29700,29700,29700
00256500,University of Nebraska,2024,PUB,SEM,16550,,38630,,8275,,19315,,N,22234,22234,13620
00256900,University of Nevada - Las Vegas,2024,PUB,SEM,31695,,45499,,15848,,22750,,N,20365,31201,22895
00258903,University of New Hampshire,2024,PUB,SEM,41348,,49348,,20674,,24674,,N,27094,27094,19594
00262900,Rutgers University,2024,PUB,SEM,33629,,48993,,16815,,24497,,N,21258,32546,14482
00263201,Seton Hall University,2024,PRI,SEM,69120,52320,69120,52320,34560,26160,34560,26160,N,,28404,9846
00266300,University of New Mexico,2024,PUB,SEM,20719,,44203,,10360,,22102,,N,22781,22781,22781
00267700,Brooklyn Law School,2024,PRI,SEM,73442,55294,73442,55294,36721,27647,36721,27647,Y,29763,29763,11763
00270711,Columbia University,2024,PRI,SEM,84820,,84820,,42410,,42410,,N,30117,30117,5380
00271101,Cornell University,2024,PRI,SEM,81416,,81416,,40708,,40708,,N,27216,27216,27216
00272203,Fordham University,2024,PRI,SEM,75728,56970,75728,56970,37864,28485,37864,28485,N,35596,35596,35596
00273200,Hofstra University,2024,PRI,SEM,71586,53626,71586,53626,35793,26813,35793,26813,N,31629,35115,19875
00278300,New York Law School,2024,PRI,SEM,69038,53058,69038,53058,34519,26529,34519,26529,N,,23759,10719
00278500,New York University,2024,PRI,SEM,83152,,83152,,41576,,41576,,N,34985,34985,34985
00279102,Pace University,2024,PRI,SEM,55998,42006,55998,42006,27999,21003,27999,21003,N,26974,31562,12762
00282300,"St. John's University",2024,PRI,SEM,74136,55976,74136,55976,37068,27988,37068,27988,N,30649,32053,12258
00283700,University of Buffalo-SUNY,2024,PUB,SEM,29390,,34690,,14695,,17345,,N,21126,21126,8922
00288200,Syracuse University,2024,PRI,SEM,64417,,64417,,32209,,32209,,N,23673,23673,7749
00288600,Albany Law School of Union University,2024,PRI,SEM,61186,,61186,,30593,,30593,,N,,21571,21571
00290301,Cardozo School of Law,2024,PRI,SEM,73440,,73440,,36720,,36720,,N,32864,32864,32864
00291300,Campbell University,2024,PRI,SEM,51230,,51230,,25615,,25615,,N,,33714,20264
00292002,Duke University,2024,PRI,SEM,78774,,78774,,39387,,39387,,N,,25506,25506
00292701,Elon University,2024,PRI,TRI,43333,,43333,,14444,,14444,,N,31100,31100,
00295000,North Carolina Central University,2024,PUB,SEM,19136,17644,41797,37796,9568,8822,20899,18898,N,28201,28201,28201
00297400,University of North Carolina,2024,PUB,SEM,29696,,51486,,14848,,25743,,N,28416,28416,13856
00297805,Wake Forest University,2024,PRI,SEM,56274,,56274,,28137,,28137,,N,29699,29699,29699
00300500,University of North Dakota,2024,PUB,SEM,17634,,33552,,8817,,16776,,N,19142,19142,19142
00302302,Capital University,2024,PRI,SEM,44744,39976,44744,39976,22372,19988,22372,19988,N,19845,19845,19845
00302400,Case Western Reserve University,2024,PRI,SEM,63038,,63038,,31519,,31519,,N,29710,29710,29710
00303200,Cleveland State University,2024,PUB,SEM,30647,,30757,,15324,,15379,,N,27710,27710,27710
00308900,Ohio Northern University,2024,PRI,SEM,34950,,34950,34950,17475,,17475,17475,N,21008,18772,18772
00309000,The Ohio State University,2024,PUB,SEM,35279,,50531,,17640,,25266,,N,19986,19986,19986
00312300,University of Akron,2024,PUB,SEM,26649,18276,26749,18376,13325,9138,13375,9188,N,11550,11500,5500
00312500,University of Cincinnati,2024,PUB,SEM,24810,,29810,,12405,,14905,,N,25956,25956,25956
00312700,University of Dayton,2024,PRI,SEM,39722,19850,39722,19850,19861,9925,19861,9925,N,18500,18500,18500
00313100,University of Toledo,2024,PUB,SEM,28771,,29771,,14386,,14886,,N,23418,23418,10596
00316614,Oklahoma City University,2024,PRI,SEM,37623,,37623,,18812,,18812,,N,15300,15300,15300
00318400,University of Oklahoma,2024,PUB,SEM,23554,,37819,,11777,,18910,,N,27326,27022,22858
00318500,University of Tulsa,2024,PRI,SEM,30761,21079,30761,21079,15381,10540,15381,10540,N,30730,29033,24551
00319700,Lewis and Clark College,2024,PRI,SEM,59120,44338,59120,44338,29560,22169,29560,22169,N,28370,28370,28370
00322300,University of Oregon,2024,PUB,SEM,47190,,59088,,23595,,29544,,N,21504,21504,9555
00322700,Willamette University,2024,PRI,SEM,53980,,53980,,26990,,26990,,N,,25196,25196
00325600,Drexel University,2024,PRI,SEM,57035,,57035,,28518,,28518,,N,25467,27609,12579
00325800,Duquesne University,2024,PRI,SEM,57666,44588,57666,44588,28833,22294,28833,22294,N,24904,24904,24904
00331301,Widener University-Delaware,2024,PRI,SEM,57060,,57060,,28530,,28530,,N,24869,24869,15851
00331302,Widener Commonwealth,2024,PRI,SEM,54720,,54720,,27360,,27360,,N,,31199,19553
00332900,Pennsylvania State University-Penn State Law,2024,PUB,SEM,57556,,57556,,28778,,28778,,N,24046,24046,24046
00332922,Pennsylvania State University,2024,,,,,,,,,,,,,,
00332923,Pennsylvania State University-Dickinson School of Law,2024,PUB,SEM,59054,,59054,,29527,,29527,,N,26800,26800,
00337101,Temple University,2024,PUB,SEM,32843,26581,49077,39577,16422,13291,24539,19789,N,27062,27062,15992
00337800,University of Pennsylvania,2024,PRI,SEM,80592,,80592,,40296,,40296,,N,30260,30260,
00337900,University of Pittsburgh,2024,PUB,SEM,40451,,52677,,20226,,26339,,N,18766,18766,18766
00338801,Villanova University,2024,PRI,SEM,58815,,58815,,29408,,29408,,Y,,24915,12180
00341001,Roger Williams University,2024,PRI,SEM,49120,,49120,,24560,,24560,,N,25216,22616,22616
00344800,University of South Carolina,2024,PUB,SEM,23722,,41500,,11861,,20750,,N,24596,24596,16290
00347400,University of South Dakota,2024,PUB,SEM,16793,,36333,,8397,,18167,,N,16804,18650,11258
00347900,Belmont University,2024,PRI,SEM,56360,,56360,,28180,,28180,,N,31080,31080,31080
00350200,Lincoln Memorial University,2024,PRI,SEM,47502,,47502,,23751,,23751,,N,27100,27100,27100
00350900,University of Memphis,2024,PUB,SEM,20708,18680,26274,23740,10354,9340,13137,11870,N,25814,25814,15200
00353000,University of Tennessee,2024,PUB,SEM,20508,,39252,,10254,,19626,,N,25016,25016,19166
00353500,Vanderbilt University,2024,PRI,SEM,75440,,75440,,37720,,37720,,N,34369,34369,34369
00354500,Baylor University,2024,PRI,QTR,64639,,64639,,21546,,21546,,N,25836,28681,14681
00361300,Southern Methodist University,2024,PRI,SEM,66044,,66044,,33022,,33022,,N,22638,14888,7478
00362300,"St. Mary's University",2024,PRI,SEM,44718,29562,44718,29562,22359,14781,22359,14781,N,22038,22038,22038
00363221,Texas A&M University,2024,PUB,SEM,32634,25361,48682,37398,16317,12681,24341,18699,N,,28890,28890
00364200,Texas Southern University,2024,PUB,SEM,14481,,21885,,7241,,10943,,N,,27784,
00364400,Texas Tech University,2024,PUB,SEM,27532,,38932,,13766,,19466,,N,17234,17234,17234
00365200,University of Houston,2024,PUB,SEM,37894,26000,52774,36080,18947,13000,26387,18040,N,21028,25920,15790
00365800,University of Texas at Austin,2024,PUB,SEM,38236,,56822,,19118,,28411,,N,24270,25174,14966
00367000,Brigham Young University,2024,PRI,SEM,15528,,31056,,7764,,15528,,N,19604,22524,8408
00367500,University of Utah,2024,PUB,SEM,34789,,45102,,17395,,22551,,N,27805,34305,23905
00370500,William and Mary Law School,2024,PUB,SEM,44953,,68576,,22477,,34288,,N,18270,18270,18270
00374400,University of Richmond,2024,PRI,SEM,55550,,55550,,27775,,27775,,N,25930,25830,15030
00374500,University of Virginia,2024,PUB,SEM,74700,,77700,,37350,,38850,,N,30648,30648,30648
00374900,George Mason University,2024,PUB,SEM,27762,,43876,,13881,,21938,,N,35740,35740,16070
00376800,Washington and Lee University,2024,PRI,SEM,57180,,57180,,28590,,28590,,N,,20650,9007
00377800,Gonzaga University,2024,PRI,SEM,55727,,55727,,27864,,27864,,Y,,25213,14216
00379001,Seattle University,2024,PRI,SEM,59600,,59600,,29800,,29800,,N,32950,32950,32950
00379800,University of Washington,2024,PUB,QTR,44844,,56691,,14948,,18897,,N,29082,29082,12369
00382700,West Virginia University,2024,PUB,SEM,26604,,44730,,13302,,22365,,N,21622,21622,21622
00386300,Marquette University,2024,PRI,SEM,50950,,50950,,25475,,25475,,N,22146,22146,22146
00389500,University of Wisconsin,2024,PUB,SEM,37232,,53929,,18616,,26965,,N,24508,24508,13830
00393200,University of Wyoming,2024,PUB,SEM,18322,,37162,,9161,,18581,,N,20010,16600,11400
00393600,Pontifical Catholic University of P.R.,2024,PRI,SEM,16990,,16990,,8495,,8495,,N,20244,25817,16653
00394200,University of Puerto Rico,2024,PUB,SEM,9750,,9750,,4875,,4875,,N,22806,22806,22806
00394700,"UC College of the Law, San Francisco",2024,PUB,SEM,50625,,58113,,25313,,29057,,N,33136,33136,33136
00396900,University of Minnesota,2024,PUB,SEM,51062,,60878,,25531,,30439,,N,19108,19108,19108
00425090,Inter American University of Puerto Rico,2024,PRI,SEM,17225,13480,17225,13480,8613,6740,8613,6740,Y,,24553,22687
00497700,South Texas College of Law,2024,PRI,SEM,42520,28680,42520,28680,21260,14340,21260,14340,N,,31654,23654
00891600,New England Law | Boston,2024,PRI,SEM,60170,45190,60170,45190,30085,22595,30085,22595,N,,36051,23451
00927500,Northern Kentucky University,2024,PUB,SEM,24794,20824,39458,33232,12397,10412,19729,16616,N,16212,20932,20932
00963500,Florida International University,2024,PUB,SEM,21806,14900,36049,24549,10903,7450,18025,12275,N,21606,32140,16292
01014205,Touro University,2024,PRI,SEM,59800,,59800,,29900,,29900,,N,,35282,11980
01014913,Pepperdine University,2024,PRI,SEM,70556,,70556,,35278,,35278,,N,31880,31880,31880
01039501,University of San Diego,2024,PRI,SEM,65191,48281,65191,48281,32596,24141,32596,24141,N,36918,36918,16868
01164901,Loyola Marymount University-Los Angeles,2024,PRI,SEM,68512,50836,68512,50836,34256,25418,34256,25418,N,,43030,29393
01193400,Vermont Law School,2024,PRI,SEM,54843,,54843,,27422,,27422,,N,22485,22485,22485
01262700,Thomas M. Cooley Law School,2024,PRI,SEM,48040,,48040,,24020,,24020,,N,,27196,27196
01310300,California Western School of Law,2024,PRI,TRI,62550,46830,62550,46830,20850,15610,20850,15610,N,,34192,34192
02053000,Liberty University,2024,PRI,SEM,44138,,44138,,22069,,22069,,N,26266,28060,21052
02179937,Western State College of Law,2024,PRI,SEM,53288,35731,53288,35731,26644,17866,26644,17866,N,,31346,19674
03091300,Regent University,2024,PRI,SEM,43554,,43554,,21777,,21777,,N,26950,32268,32268
03173300,"Atlanta's John Marshall Law School",2024,PRI,SEM,53236,32494,53236,32494,26618,16247,26618,16247,N,35426,35426,35426
03191300,City University of New York,2024,PUB,SEM,16013,10482,26203,17502,8007,5241,13102,8751,N,,30376,16035
03559300,Appalachian School of Law,2024,PRI,SEM,41000,,41000,,20500,,20500,,N,41800,41800,41800
03691400,Ave Maria School of Law,2024,PRI,SEM,50750,,50750,,25375,,25375,,N,32765,32765,32765
04096300,Charleston School of Law,2024,PRI,SEM,48234,38834,48234,38834,24117,19417,24117,19417,N,,27752,27752
04242101,UNT Dallas College Of Law,2024,PUB,SEM,23833,20439,40150,34180,11917,10220,20075,17090,N,,24692,15492
