schoolid,schoolname,CalendarYear,AcademicYear,JD1SectionSz,FTJD1SectionSz,PTJD1SectionSz,PostJD1Courses,CourseSecLT25,CourseSecLT50,CourseSecLT75,CourseSecLT100,CourseSectGTE100,TotalSimPos,SimPosFilled,FTSimPosFilled,PTSimPosFilled,Seminars,SemPosFilled,FTSemPosFilled,PTSemPosFilled,TotalClinics,TotalClinPos,ClinPosFilled,FTClinPosFilled,PTClinPosFilled,FieldPosFilled,FTFieldPosFilled,PTFieldPosFilled,IndStudy,FTIndStudy,PTIndStudy,LawJour,FTLawJour,PTLawJour,InterSkillsComp,FTInterSkillsComp,PTInterSkillsComp,CoCurricularOffers,GradReqCreditHrs,FYReqCoursCreditHrs,ULReqCoursCreditHrs
00300500,University of North Dakota,2024,2023,83,,,68,39,8,7,0,0,143,,,,7,,,,,28,,,,120,,,,,,,,,,,,17,90,,
00302302,Capital University,2024,2023,50,,,88,106,40,12,0,1,1455,,,,9,,,,,78,,,,192,,,,,,,,,,,,10,89,,
00302400,Case Western Reserve University,2024,2023,77,,,127,103,27,9,2,0,330,,,,11,,,,,120,,,,262,,,,,,,,,,,,7,88,,
00303200,Cleveland State University,2024,2023,37,,,123,124,30,8,1,0,185,,,,44,,,,,105,,,,103,,,,,,,,,,,,9,90,,
00308900,Ohio Northern University,2024,2023,80,,,67,45,15,3,0,0,402,,,,7,,,,,160,,,,23,,,,,,,,,,,,2,90,,
00309000,The Ohio State University,2024,2023,32,,,133,106,23,13,1,0,1056,,,,22,,,,,120,,,,153,,,,,,,,,,,,32,88,,
00312300,University of Akron,2024,2023,35,,,98,91,34,8,2,0,927,,,,21,,,,,92,,,,69,,,,,,,,,,,,23,88,,
00312500,University of Cincinnati,2024,2023,65,,,141,86,30,4,5,0,491,,,,240,,,,,75,,,,259,,,,,,,,,,,,11,90,,
00312700,University of Dayton,2024,2023,89,,,60,66,14,7,2,0,679,,,,4,,,,,36,,,,83,,,,,,,,,,,,11,90,,
00313100,University of Toledo,2024,2023,42,,,61,32,21,9,3,0,146,,,,10,,,,,62,,,,78,,,,,,,,,,,,5,89,,
00316614,Oklahoma City University,2024,2023,75,,,96,85,19,16,0,0,408,,,,9,,,,,122,,,,120,,,,,,,,,,,,8,90,,
00318400,University of Oklahoma,2024,2023,42,,,96,61,26,20,4,0,478,,,,15,,,,,114,,,,73,,,,,,,,,,,,11,90,,
00318500,University of Tulsa,2024,2023,39,,,78,53,24,6,0,0,0,,,,10,,,,,60,,,,204,,,,,,,,,,,,15,88,,
00319700,Lewis and Clark College,2024,2023,52,,,159,131,27,7,0,0,433,,,,46,,,,,163,,,,261,,,,,,,,,,,,14,90,,
00322300,University of Oregon,2024,2023,80,,,111,67,28,7,2,1,391,,,,11,,,,,199,,,,136,,,,,,,,,,,,6,85,,
00322700,Willamette University,2024,2023,59,,,96,92,14,6,2,0,366,,,,24,,,,,56,,,,143,,,,,,,,,,,,11,90,,
00325600,Drexel University,2024,2023,41,,,125,109,11,5,1,0,432,,,,19,,,,,78,,,,144,,,,,,,,,,,,4,85,,
00325800,Duquesne University,2024,2023,69,,,110,79,39,9,2,0,445,,,,22,,,,,63,,,,99,,,,,,,,,,,,5,87,,
00331301,Widener University-Delaware,2024,2023,69,,,84,82,26,16,5,2,1074,,,,3,,,,,57,,,,106,,,,,,,,,,,,8,90,,
00331302,Widener Commonwealth,2024,2023,47,,,72,56,21,10,0,0,282,,,,9,,,,,72,,,,116,,,,,,,,,,,,7,90,,
00332900,Pennsylvania State University-Penn State Law,2024,2023,63,,,107,55,22,23,0,2,394,,,,15,,,,,155,,,,101,,,,,,,,,,,,21,88,,
00332922,Pennsylvania State University,2024,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00332923,Pennsylvania State University-Dickinson School of Law,2024,2023,70,,,95,67,15,7,1,0,395,,,,15,,,,,48,,,,192,,,,,,,,,,,,15,88,,
00337101,Temple University,2024,2023,58,,,238,205,23,8,1,0,986,,,,69,,,,,229,,,,287,,,,,,,,,,,,7,88,,
00337800,University of Pennsylvania,2024,2023,53,,,247,207,33,15,6,3,1611,,,,82,,,,,145,,,,126,,,,,,,,,,,,39,86,,
00337900,University of Pittsburgh,2024,2023,49,,,173,173,15,10,3,0,422,,,,21,,,,,126,,,,66,,,,,,,,,,,,26,88,,
00338801,Villanova University,2024,2023,62,,,143,112,25,3,6,4,616,,,,14,,,,,121,,,,325,,,,,,,,,,,,5,90,,
00341001,Roger Williams University,2024,2023,79,,,126,115,23,7,10,1,664,,,,13,,,,,142,,,,124,,,,,,,,,,,,16,90,,
00344800,University of South Carolina,2024,2023,69,,,150,129,38,12,2,0,871,,,,30,,,,,71,,,,73,,,,,,,,,,,,29,90,,
00347400,University of South Dakota,2024,2023,43,,,79,59,13,4,3,0,92,,,,7,,,,,24,,,,208,,,,,,,,,,,,8,90,,
00347900,Belmont University,2024,2023,65,,,72,46,9,12,0,4,819,,,,11,,,,,0,,,,139,,,,,,,,,,,,7,90,,
00350200,Lincoln Memorial University,2024,2023,42,,,57,47,20,10,1,0,279,,,,7,,,,,28,,,,86,,,,,,,,,,,,12,90,,
00350900,University of Memphis,2024,2023,37,,,75,58,16,9,2,0,196,,,,9,,,,,45,,,,88,,,,,,,,,,,,12,90,,
00353000,University of Tennessee,2024,2023,55,,,114,102,20,7,1,0,469,,,,21,,,,,102,,,,57,,,,,,,,,,,,16,89,,
00353500,Vanderbilt University,2024,2023,65,,,191,114,49,5,3,1,1112,,,,15,,,,,102,,,,69,,,,,,,,,,,,32,85,,
00354500,Baylor University,2024,2023,34,,,111,121,28,15,1,5,2025,,,,5,,,,,132,,,,103,,,,,,,,,,,,57,,,
00361300,Southern Methodist University,2024,2023,65,,,154,107,32,13,7,3,562,,,,18,,,,,222,,,,234,,,,,,,,,,,,15,87,,
00362300,"St. Mary's University",2024,2023,85,,,139,140,48,7,12,1,940,,,,13,,,,,73,,,,84,,,,,,,,,,,,43,90,,
00363221,Texas A&M University,2024,2023,57,,,156,125,23,7,1,1,596,,,,55,,,,,171,,,,166,,,,,,,,,,,,28,90,,
00364200,Texas Southern University,2024,2023,54,,,72,138,37,51,4,0,379,,,,11,,,,,70,,,,132,,,,,,,,,,,,3,90,,
00364400,Texas Tech University,2024,2023,51,,,105,80,11,13,2,0,342,,,,20,,,,,66,,,,22,,,,,,,,,,,,13,90,,
00365200,University of Houston,2024,2023,70,,,221,179,40,13,2,0,772,,,,29,,,,,338,,,,119,,,,,,,,,,,,20,90,,
00365800,University of Texas at Austin,2024,2023,66,,,271,217,53,19,4,4,1378,,,,55,,,,,387,,,,101,,,,,,,,,,,,0,86,,
00367000,Brigham Young University,2024,2023,46,,,117,90,21,4,0,0,234,,,,6,,,,,167,,,,121,,,,,,,,,,,,12,90,,
00367500,University of Utah,2024,2023,42,,,116,106,9,5,0,0,366,,,,104,,,,,56,,,,116,,,,,,,,,,,,13,88,,
00370500,William and Mary Law School,2024,2023,56,,,178,168,26,9,3,2,168,,,,25,,,,,179,,,,161,,,,,,,,,,,,13,86,,
00374400,University of Richmond,2024,2023,46,,,144,133,14,7,2,0,550,,,,18,,,,,86,,,,107,,,,,,,,,,,,6,87,,
00374500,University of Virginia,2024,2023,53,,,340,266,33,21,10,1,1347,,,,119,,,,,427,,,,49,,,,,,,,,,,,0,86,,
00374900,George Mason University,2024,2023,24,,,189,262,31,11,0,0,910,,,,33,,,,,174,,,,306,,,,,,,,,,,,0,89,,
00376800,Washington and Lee University,2024,2023,42,,,106,89,25,6,1,0,723,,,,23,,,,,40,,,,71,,,,,,,,,,,,8,85,,
00377800,Gonzaga University,2024,2023,57,,,92,62,15,25,0,0,434,,,,23,,,,,153,,,,148,,,,,,,,,,,,9,,,
00379001,Seattle University,2024,2023,60,,,150,117,39,12,2,0,425,,,,39,,,,,152,,,,220,,,,,,,,,,,,7,90,,
00379800,University of Washington,2024,2023,72,,,162,129,43,18,2,0,487,,,,42,,,,,129,,,,181,,,,,,,,,,,,6,135,,
00382700,West Virginia University,2024,2023,55,,,86,48,19,12,2,3,318,,,,9,,,,,165,,,,26,,,,,,,,,,,,4,91,,
00386300,Marquette University,2024,2023,65,,,131,118,22,22,1,0,1058,,,,17,,,,,74,,,,183,,,,,,,,,,,,66,90,,
00389500,University of Wisconsin,2024,2023,56,,,140,90,36,16,10,0,652,,,,35,,,,,328,,,,246,,,,,,,,,,,,33,90,,
00393200,University of Wyoming,2024,2023,83,,,68,34,12,6,0,0,70,,,,5,,,,,109,,,,90,,,,,,,,,,,,5,90,,
00393600,Pontifical Catholic University of P.R.,2024,2023,23,,,105,112,58,1,0,0,93,,,,14,,,,,133,,,,40,,,,,,,,,,,,8,94,,
00394200,University of Puerto Rico,2024,2023,42,,,73,179,23,3,0,0,170,,,,13,,,,,300,,,,51,,,,,,,,,,,,5,92,,
00394700,"UC College of the Law, San Francisco",2024,2023,78,,,216,196,39,15,5,3,903,,,,48,,,,,258,,,,502,,,,,,,,,,,,14,86,,
00396900,University of Minnesota,2024,2023,31,,,221,132,27,10,5,1,657,,,,62,,,,,264,,,,383,,,,,,,,,,,,38,88,,
00425090,Inter American University of Puerto Rico,2024,2023,30,,,138,210,54,4,0,0,519,,,,19,,,,,206,,,,68,,,,,,,,,,,,25,92,,
00497700,South Texas College of Law,2024,2023,90,,,162,171,36,23,23,0,1935,,,,24,,,,,332,,,,96,,,,,,,,,,,,20,90,,
00891600,New England Law | Boston,2024,2023,86,,,142,103,53,27,8,7,957,,,,39,,,,,65,,,,213,,,,,,,,,,,,2,86,,
00927500,Northern Kentucky University,2024,2023,49,,,62,64,19,4,3,0,213,,,,9,,,,,42,,,,100,,,,,,,,,,,,4,90,,
00963500,Florida International University,2024,2023,62,,,90,123,22,13,6,0,874,,,,14,,,,,160,,,,153,,,,,,,,,,,,37,90,,
01014205,Touro University,2024,2023,53,,,84,81,22,11,1,3,441,,,,15,,,,,156,,,,115,,,,,,,,,,,,22,88,,
01014913,Pepperdine University,2024,2023,66,,,139,119,57,10,2,0,1487,,,,10,,,,,176,,,,240,,,,,,,,,,,,30,88,,
01039501,University of San Diego,2024,2023,86,,,167,122,33,10,8,3,882,,,,41,,,,,446,,,,339,,,,,,,,,,,,166,88,,
01164901,Loyola Marymount University-Los Angeles,2024,2023,68,,,245,177,49,10,6,6,1739,,,,43,,,,,553,,,,218,,,,,,,,,,,,29,87,,
01193400,Vermont Law School,2024,2023,50,,,143,179,14,10,0,0,709,,,,38,,,,,170,,,,87,,,,,,,,,,,,9,87,,
01262700,Thomas M. Cooley Law School,2024,2023,29,,,107,252,30,7,0,0,855,,,,44,,,,,158,,,,145,,,,,,,,,,,,22,90,,
01310300,California Western School of Law,2024,2023,73,,,90,132,20,9,8,6,990,,,,36,,,,,72,,,,133,,,,,,,,,,,,25,90,,
02053000,Liberty University,2024,2023,50,,,67,50,10,16,2,3,857,,,,10,,,,,30,,,,54,,,,,,,,,,,,6,90,,
02179937,Western State College of Law,2024,2023,33,,,67,78,23,5,0,0,327,,,,6,,,,,10,,,,79,,,,,,,,,,,,13,87,,
03091300,Regent University,2024,2023,51,,,64,88,16,8,2,3,355,,,,4,,,,,79,,,,135,,,,,,,,,,,,5,90,,
